"survey_period","site","n_healthy","n_pale","n_bleached","n_diseased","n_dead","n_total","pct_healthy","pct_pale","pct_bleached","pct_diseased","pct_dead"
"Jul_2025","Richard Bennett",72,1,0,0,2,75,96,1.33333333333333,0,0,2.66666666666667
"Jul_2025","Roka",9,0,0,0,0,9,100,0,0,0,0
"Jul_2025","Turtle Reef",46,0,0,0,2,48,95.8333333333333,0,0,0,4.16666666666667
"Jul_2025","Watamu Coral Garden",43,0,0,0,4,47,91.4893617021277,0,0,0,8.51063829787234
"Jul_2025","Wesa",107,0,0,0,0,107,100,0,0,0,0
"Jul_2025","Whale island/Uyombo",76,0,0,0,13,89,85.3932584269663,0,0,0,14.6067415730337
"Nov_2024","Inner",48,5,2,0,1,56,85.7142857142857,8.92857142857143,3.57142857142857,0,1.78571428571429
"Nov_2024","Lobster Reef",8,0,0,0,4,12,66.6666666666667,0,0,0,33.3333333333333
"Nov_2024","Outer",35,0,14,0,0,49,71.4285714285714,0,28.5714285714286,0,0
"Nov_2024","Watamu Coral Garden",17,0,0,0,7,24,70.8333333333333,0,0,0,29.1666666666667
"Nov_2024","Wesa",123,6,1,0,7,137,89.7810218978102,4.37956204379562,0.72992700729927,0,5.10948905109489
