"survey_period","site","mean_recruits_m2","se_recruits_m2","mean_small_recruits_m2","n_quadrats"
"Jul_2025","Richard Bennett",0,0,0,162
"Jul_2025","Roka",0.00617283950617282,0.00617283950617284,0,162
"Jul_2025","Turtle Reef",0.0308641975308642,0.0203919110559438,0.0185185185185185,162
"Jul_2025","Watamu Coral Garden",0,0,0,162
"Jul_2025","Wesa",0.141975308641975,0.0573333787740476,0,162
"Jul_2025","Whale island/Uyombo",0.141975308641975,0.0599486552480913,0.0617283950617284,162
"Nov_2024","Bamsa",0,0,0,198
"Nov_2024","Lobster Reef",0.0202020202020202,0.0202020202020202,0,198
"Nov_2024","Maliwai",0,0,0,198
"Nov_2024","Ngomeni Outer",0,0,0,198
"Nov_2024","Ras Ngomeni Inner",0,0,0,198
"Nov_2024","Roka 2",0,0,0,198
"Nov_2024","Watamu Coral Garden",0,0,0,198
"Nov_2024","Wesa",0.0606060606060606,0.0348128533823295,0.00505050505050505,198
"Nov_2024","Wesa 1",0.00799999999999999,0.00799999999999998,0,125
"Nov_2024",NA,0,0,0,198
