"ecosystem_type","geographic_scope","survey_period","site","pa_name","pa_type","condition_indicator","unit","measured_value","condition_index","reference_level","confidence","note"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Richard Bennett","Watamu Marine Park","No-take MPA","Fish biomass","kg/ha",3085.147,1,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Richard Bennett","Watamu Marine Park","No-take MPA","Fish species richness","species count",19.5,1,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Roka 1","Unprotected","Open access","Fish biomass","kg/ha",31.402,0.027,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Roka 1","Unprotected","Open access","Fish species richness","species count",10,0.513,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Roka 2","Unprotected","Open access","Fish biomass","kg/ha",121.201,0.105,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Roka 2","Unprotected","Open access","Fish species richness","species count",13,0.667,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Turtle Reef","Watamu Marine Park","No-take MPA","Fish biomass","kg/ha",541.066,0.47,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Turtle Reef","Watamu Marine Park","No-take MPA","Fish species richness","species count",14,0.718,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Uyombo","Unprotected","Open access","Fish biomass","kg/ha",328.451,0.286,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Uyombo","Unprotected","Open access","Fish species richness","species count",14.5,0.744,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Watamu Coral Garden","Watamu Marine Park","No-take MPA","Fish biomass","kg/ha",1074.557,0.934,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Watamu Coral Garden","Watamu Marine Park","No-take MPA","Fish species richness","species count",19,0.974,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Wesa 1","Unprotected","Open access","Fish biomass","kg/ha",96.618,0.084,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Wesa 1","Unprotected","Open access","Fish species richness","species count",12.5,0.641,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Wesa 2","Unprotected","Open access","Fish biomass","kg/ha",152.332,0.132,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Wesa 2","Unprotected","Open access","Fish species richness","species count",11,0.564,"Max observed in dataset","MEDIUM",NA
