"ecosystem_type","geographic_scope","survey_period","site","pa_name","pa_type","condition_indicator","unit","measured_value","condition_index","reference_level","confidence","note"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Bamsa","Unknown","Unknown","Fish biomass","kg/ha",1.48,0.001,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Bamsa","Unknown","Unknown","Fish species richness","species count",1.5,0.075,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Bofa","Unprotected","Open access","Fish biomass","kg/ha",467.19,0.406,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Bofa","Unprotected","Open access","Fish species richness","species count",16,0.8,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Kuruwitu Community Park","Kuruwitu Community Park","Community CPA","Fish biomass","kg/ha",105.998,0.092,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Kuruwitu Community Park","Kuruwitu Community Park","Community CPA","Fish species richness","species count",12,0.6,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Lobster reef","Unknown","Unknown","Fish biomass","kg/ha",325.093,0.283,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Lobster reef","Unknown","Unknown","Fish species richness","species count",20,1,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Malindi Coral Garden","Malindi MPA","Managed MPA","Fish biomass","kg/ha",1044.661,0.908,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Malindi Coral Garden","Malindi MPA","Managed MPA","Fish species richness","species count",17.5,0.875,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Mwaluai","Unknown","Unknown","Fish biomass","kg/ha",87.06,0.076,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Mwaluai","Unknown","Unknown","Fish species richness","species count",9.5,0.475,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Ngololo","Unknown","Unknown","Fish biomass","kg/ha",22.216,0.019,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Ngololo","Unknown","Unknown","Fish species richness","species count",6.5,0.325,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Ngomeni Outer","Malindi MPA","Managed MPA","Fish biomass","kg/ha",17.609,0.015,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Ngomeni Outer","Malindi MPA","Managed MPA","Fish species richness","species count",3,0.15,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","ngomeni inn","Unknown","Unknown","Fish biomass","kg/ha",73.406,0.064,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","ngomeni inn","Unknown","Unknown","Fish species richness","species count",14.5,0.725,"Max observed in dataset","MEDIUM",NA
