"ecosystem_type","geographic_scope","survey_period","site","pa_name","pa_type","condition_indicator","unit","measured_value","condition_index","reference_level","confidence","note"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Richard Bennett","Watamu Marine Park","No-take MPA","Bleached coral colonies","% colonies",0,1,"<5% background (Hoegh-Guldberg 1999)","MEDIUM","Jul 2025 data = post-2024 bleaching event; interpret with caution"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Richard Bennett","Watamu Marine Park","No-take MPA","Coral recruit density","recruits/m2",0,0,"1-3 recruits/m2 (WIO healthy; Hughes et al. 2010)","LOW-MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Richard Bennett","Watamu Marine Park","No-take MPA","Diseased coral colonies","% colonies",0,1,"<2% background (Bourne et al. 2009)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Richard Bennett","Watamu Marine Park","No-take MPA","Fish biomass","kg/ha",3085.147,1,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Richard Bennett","Watamu Marine Park","No-take MPA","Fish species richness","species count",19.5,1,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Richard Bennett","Watamu Marine Park","No-take MPA","Healthy coral colonies","% colonies",96,1,"95% healthy (non-bleaching year baseline)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Richard Bennett","Watamu Marine Park","No-take MPA","Live hard coral cover","%",29.36,0.979,">30% (GCRMN 2021; Obura et al. 2022)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Roka","Unprotected","Open access","Bleached coral colonies","% colonies",0,1,"<5% background (Hoegh-Guldberg 1999)","MEDIUM","Jul 2025 data = post-2024 bleaching event; interpret with caution"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Roka","Unprotected","Open access","Coral recruit density","recruits/m2",0.006,0.006,"1-3 recruits/m2 (WIO healthy; Hughes et al. 2010)","LOW-MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Roka","Unprotected","Open access","Diseased coral colonies","% colonies",0,1,"<2% background (Bourne et al. 2009)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Roka","Unprotected","Open access","Healthy coral colonies","% colonies",100,1,"95% healthy (non-bleaching year baseline)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Roka 1","Unprotected","Open access","Fish biomass","kg/ha",31.402,0.027,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Roka 1","Unprotected","Open access","Fish species richness","species count",10,0.513,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Roka 1","Unprotected","Open access","Live hard coral cover","%",8.08,0.269,">30% (GCRMN 2021; Obura et al. 2022)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Roka 2","Unprotected","Open access","Fish biomass","kg/ha",121.201,0.105,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Roka 2","Unprotected","Open access","Fish species richness","species count",13,0.667,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Turtle Reef","Watamu Marine Park","No-take MPA","Bleached coral colonies","% colonies",0,1,"<5% background (Hoegh-Guldberg 1999)","MEDIUM","Jul 2025 data = post-2024 bleaching event; interpret with caution"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Turtle Reef","Watamu Marine Park","No-take MPA","Coral recruit density","recruits/m2",0.031,0.031,"1-3 recruits/m2 (WIO healthy; Hughes et al. 2010)","LOW-MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Turtle Reef","Watamu Marine Park","No-take MPA","Diseased coral colonies","% colonies",0,1,"<2% background (Bourne et al. 2009)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Turtle Reef","Watamu Marine Park","No-take MPA","Fish biomass","kg/ha",541.066,0.47,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Jul_2025","Turtle Reef","Watamu Marine Park","No-take MPA","Fish species richness","species count",14,0.718,"Max observed in dataset","MEDIUM",NA
