Ecosystem_type,Area,Date,Indicator_group,Indicator,Variable,Unit,Value_2024,CI_2024,Reference_value,Reference_confidence,Notes
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Composite,Composite condition index,"Mean of cover CI, richness CI, and mean shoot density CI",index (0-1),0.728,0.728,1,LOW,"PROVISIONAL composite. Components: CI_cover=1, CI_richness=0.375, CI_density_mean=0.81."
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass cover,Species richness,Number of seagrass species observed,count,3,0.375,8,LOW,Reference = maximum observed richness across all Kenya pilot sites.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass cover,Total seagrass cover,Mean percentage cover across all species,%,81.19,1,60,LOW,PROVISIONAL reference: 60% cover. Confirm against WIO seagrass literature.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Canopy height — Cymodocea rotundata,Mean canopy height,cm,16.25,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Canopy height — Halodule uninervis,Mean canopy height,cm,7,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Canopy height — Syringodium isoetifolium,Mean canopy height,cm,17.6,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Canopy height — Thalassia hemprichii,Mean canopy height,cm,12.5,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Canopy height — Thalassodendron ciliatum,Mean canopy height,cm,41.45,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Shoot density — Cymodocea rotundata,Mean shoot density,shoots/m2,2922.2,1,500,LOW,PROVISIONAL ref 500 shoots/m² (C. rotundata WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Shoot density — Halodule uninervis,Mean shoot density,shoots/m2,5333.3,1,1000,LOW,PROVISIONAL ref 1000 shoots/m² (H. uninervis WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Shoot density — Syringodium isoetifolium,Mean shoot density,shoots/m2,3466.7,0.257,13511.111111111113,LOW,Reference = max observed across sites (13511.1 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Shoot density — Thalassia hemprichii,Mean shoot density,shoots/m2,1288.9,1,800,LOW,PROVISIONAL ref 800 shoots/m² (Th. hemprichii WIO). Confirm against WIO literature.
Seagrass meadows (M1.1),Bofa,NA,Biotic condition — Seagrass health,Shoot density — Thalassodendron ciliatum,Mean shoot density,shoots/m2,1543.4,0.792,1948.7179487179487,LOW,Reference = max observed across sites (1948.7 shoots/m²). No published WIO baseline available.
Seagrass meadows (M1.1),Jumba ruins,NA,Biotic condition — Seagrass health,Canopy height — Cymodocea serrulata,Mean canopy height,cm,8.2,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Jumba ruins,NA,Biotic condition — Seagrass health,Canopy height — Syringodium isoetifolium,Mean canopy height,cm,7.5,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Jumba ruins,NA,Biotic condition — Seagrass health,Canopy height — Thalassia hemprichii,Mean canopy height,cm,6.67,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
Seagrass meadows (M1.1),Jumba ruins,NA,Biotic condition — Seagrass health,Canopy height — Thalassodendron ciliatum,Mean canopy height,cm,16.7,NA,NA,LOW,No published WIO canopy height reference level. Reported for information only.
