"survey_period","site","mean_biomass_kg_ha","se_biomass_kg_ha","mean_abundance_ha","mean_richness","n_transects"
"Jul_2025","Richard Bennett",3085.14700586833,710.864400364788,12340,19.5,2
"Jul_2025","Roka 1",31.401885052293,5.98333802092159,2280,10,2
"Jul_2025","Roka 2",121.201363887988,21.7148946433073,4880,13,2
"Jul_2025","Turtle Reef",541.065533569583,416.007780256296,6780,14,2
"Jul_2025","Uyombo",328.450507881253,164.54747301794,6980,14.5,2
"Jul_2025","Watamu Coral Garden",1074.55745243291,11.9272144869341,5880,19,2
"Jul_2025","Wesa 1",96.6184403714162,22.6405435302113,4640,12.5,2
"Jul_2025","Wesa 2",152.331724709463,36.8430895533193,4700,11,2
"Nov_2024","Bamsa",1.47998747467383,0.872273718774737,220,1.5,2
"Nov_2024","Bofa",467.190359047256,443.546437389632,5720,16,2
"Nov_2024","Kuruwitu Community Park",105.998465520666,47.2773175954872,3020,12,2
"Nov_2024","Lobster reef",325.09271944602,109.524221880997,10220,20,2
"Nov_2024","Malindi Coral Garden",1044.66121358264,780.888694237099,8620,17.5,2
"Nov_2024","Mwaluai",87.0599845672017,13.5664272217784,2540,9.5,2
"Nov_2024","Ngololo",22.2155880379206,3.20401256551289,1740,6.5,2
"Nov_2024","Ngomeni Outer",17.6091236127855,NA,800,3,1
"Nov_2024","Richard Bennett",3085.14700586833,710.864400364788,12340,19.5,2
"Nov_2024","Roka 1",31.401885052293,5.98333802092159,2280,10,2
"Nov_2024","Roka 2",242.402727775977,43.4297892866147,9760,13,2
"Nov_2024","Turtle Reef",541.065533569583,416.007780256296,6780,14,2
"Nov_2024","Uyombo",328.450507881253,164.54747301794,6980,14.5,2
"Nov_2024","Watamu Coral Garden",1074.55745243291,11.9272144869341,5880,19,2
"Nov_2024","Wesa 1",193.236880742832,45.2810870604226,9280,12.5,2
"Nov_2024","Wesa 2",152.331724709463,36.8430895533193,4700,11,2
"Nov_2024","ngomeni inn",73.4063039781986,26.801542183585,4780,14.5,2
