Area,Total_Cover_pct,Species_Richness,Cymodocea_rotundata_pct,Syringodium_isoetifolium_pct,Thalassodendron_ciliatum_pct,Halodule_uninervis_pct,Halophila_stipulacea_pct,Thalassia_hemprichii_pct,Halophila_ovalis_pct,Cymodocea_serrulata_pct,Enhalus_acoroides_pct,n_quadrats_cover
Bofa,81.18644067796609,3,60,65,83.70370370370371,0,0,0,0,0,0,59
Kanamai -Jumba ruins,59.05982905982906,5,85,40,59.666666666666664,50,26.666666666666668,0,0,0,0,117
Kikambala,56.45833333333333,2,80,0,0,0,0,53.72093023255813,0,0,0,48
Kuruwitu,52.391304347826086,3,42.727272727272734,0,51.666666666666664,0,0,46.111111111111114,0,0,0,92
Malindi marine park,95,6,43,41.19047619047619,74.80392156862744,50,0,51.07142857142857,37.142857142857146,0,0,21
Marereni,49.6875,5,7,28.225806451612907,48.25,26.153846153846153,0,0,25.90909090909091,0,0,64
Ngomeni,90.75,8,31.53846153846154,37.391304347826086,100,61.61290322580645,0,20,11.25,34,55,20
Roka,68.06451612903226,4,13.75,0,84.86486486486487,5,0,48.33333333333333,0,0,0,62
Takaungu,73.125,3,0,51.666666666666664,75.47945205479452,0,0,30,0,0,0,80
Wesa,75.48780487804878,4,50.526315789473685,0,93,52.5,0,55.3125,0,0,0,82
