"survey_period","site","mean_recruits_m2","se_recruits_m2","mean_small_recruits_m2","n_quadrats"
"Nov_2024","Bamsa",0,0,0,198
"Nov_2024","Lobster Reef",0.0202020202020202,0.0202020202020202,0,198
"Nov_2024","Maliwai",0,0,0,198
"Nov_2024","Ngomeni Outer",0,0,0,198
"Nov_2024","Ras Ngomeni Inner",0,0,0,198
"Nov_2024","Roka 2",0,0,0,198
"Nov_2024","Watamu Coral Garden",0,0,0,198
"Nov_2024","Wesa",0.0606060606060606,0.0348128533823295,0.00505050505050505,198
"Nov_2024","Wesa 1",0.00799999999999999,0.00799999999999998,0,125
"Nov_2024",NA,0,0,0,198
