"ecosystem_type","geographic_scope","survey_period","site","pa_name","pa_type","condition_indicator","unit","measured_value","condition_index","reference_level","confidence","note"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Bamsa","Unknown","Unknown","Coral recruit density","recruits/m2",0,0,"1-3 recruits/m2 (WIO healthy; Hughes et al. 2010)","LOW-MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Bamsa","Unknown","Unknown","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Bamsa","Unknown","Unknown","Fish biomass","kg/ha",1.48,0.001,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Bamsa","Unknown","Unknown","Fish species richness","species count",1.5,0.075,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Bamsa","Unknown","Unknown","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Bofa","Unprotected","Open access","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Bofa","Unprotected","Open access","Fish biomass","kg/ha",467.19,0.406,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Bofa","Unprotected","Open access","Fish species richness","species count",16,0.8,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Bofa","Unprotected","Open access","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Boso","Unknown","Unknown","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Boso","Unknown","Unknown","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Chipopo","Unknown","Unknown","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Chipopo","Unknown","Unknown","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Chole","Unknown","Unknown","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Chole","Unknown","Unknown","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Inner","Unknown","Unknown","Bleached coral colonies","% colonies",3.571,0.286,"<5% background (Hoegh-Guldberg 1999)","MEDIUM","Jul 2025 data = post-2024 bleaching event; interpret with caution"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Inner","Unknown","Unknown","Diseased coral colonies","% colonies",0,1,"<2% background (Bourne et al. 2009)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Inner","Unknown","Unknown","Healthy coral colonies","% colonies",85.714,0.902,"95% healthy (non-bleaching year baseline)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Iweni","Unknown","Unknown","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Iweni","Unknown","Unknown","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Jumba Ruins","Unprotected","Open access","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Jumba Ruins","Unprotected","Open access","Sea urchin density","ind/m2",0.036,0.021,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Kadhikia Kuru","Unknown","Unknown","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Kadhikia Kuru","Unknown","Unknown","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Kanamai","Unknown","Unknown","Live hard coral cover","%",47.5,1,">30% (GCRMN 2021; Obura et al. 2022)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Kanamai Community Park","Kanamai Community Park","Community CPA","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Kanamai Community Park","Kanamai Community Park","Community CPA","Sea urchin density","ind/m2",0.012,0.007,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Kilifi","Unknown","Unknown","Live hard coral cover","%",48.333,1,">30% (GCRMN 2021; Obura et al. 2022)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Kui","Unknown","Unknown","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Kui","Unknown","Unknown","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Kuruwitu Community Park","Kuruwitu Community Park","Community CPA","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Kuruwitu Community Park","Kuruwitu Community Park","Community CPA","Fish biomass","kg/ha",105.998,0.092,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Kuruwitu Community Park","Kuruwitu Community Park","Community CPA","Fish species richness","species count",12,0.6,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Kuruwitu Community Park","Kuruwitu Community Park","Community CPA","Sea urchin density","ind/m2",0.064,0.037,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Lobster Reef","Unknown","Unknown","Bleached coral colonies","% colonies",0,1,"<5% background (Hoegh-Guldberg 1999)","MEDIUM","Jul 2025 data = post-2024 bleaching event; interpret with caution"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Lobster Reef","Unknown","Unknown","Coral recruit density","recruits/m2",0.02,0.02,"1-3 recruits/m2 (WIO healthy; Hughes et al. 2010)","LOW-MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Lobster Reef","Unknown","Unknown","Diseased coral colonies","% colonies",0,1,"<2% background (Bourne et al. 2009)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Lobster Reef","Unknown","Unknown","Healthy coral colonies","% colonies",66.667,0.702,"95% healthy (non-bleaching year baseline)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Lobster reef","Unknown","Unknown","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Lobster reef","Unknown","Unknown","Fish biomass","kg/ha",325.093,0.283,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Lobster reef","Unknown","Unknown","Fish species richness","species count",20,1,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Lobster reef","Unknown","Unknown","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Makadhikia ya ziwayuu","Unknown","Unknown","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Makadhikia ya ziwayuu","Unknown","Unknown","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Malindi Coral Garden","Malindi MPA","Managed MPA","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Malindi Coral Garden","Malindi MPA","Managed MPA","Fish biomass","kg/ha",1044.661,0.908,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Malindi Coral Garden","Malindi MPA","Managed MPA","Fish species richness","species count",17.5,0.875,"Max observed in dataset","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Malindi Coral Garden","Malindi MPA","Managed MPA","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Malindi MPA","Unknown","Unknown","Live hard coral cover","%",46.429,1,">30% (GCRMN 2021; Obura et al. 2022)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Maliwai","Unknown","Unknown","Coral recruit density","recruits/m2",0,0,"1-3 recruits/m2 (WIO healthy; Hughes et al. 2010)","LOW-MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Matewa Ziwayuu","Unknown","Unknown","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Matewa Ziwayuu","Unknown","Unknown","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Mike Inn","Unknown","Unknown","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Mike Inn","Unknown","Unknown","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Mkomanga ziwayuu","Unknown","Unknown","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Mkomanga ziwayuu","Unknown","Unknown","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Mtwapa","Unknown","Unknown","Live hard coral cover","%",45.909,1,">30% (GCRMN 2021; Obura et al. 2022)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Muhindi","Unknown","Unknown","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Muhindi","Unknown","Unknown","Sea urchin density","ind/m2",0,0,"1.5-2 ind/m2 optimum (provisional; WIO; LOW confidence)","LOW",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Mwaluai","Unknown","Unknown","Crown-of-thorns density","ind/ha",0,1,"Outbreak threshold: 15 ind/ha (Dulvy et al. 2021)","MEDIUM",NA
"Coral reef (M1.3)","Kilifi County, Kenya","Nov_2024","Mwaluai","Unknown","Unknown","Fish biomass","kg/ha",87.06,0.076,"1,150 kg/ha WIO conservation target (McClanahan et al. 2016)","HIGH","[PENDING] transect area assumed 250 m2"
