"Sites","Variable","Opening_Year","Opening_Value","Closing_Year","Closing_Value","Absolute_Change","Percent_Change","Unit"
"AMBATOMILO","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"AMBITIKY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"AMBOHIBOLA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"AMBOLA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"AMBOLAFOTY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"AMPASINDAVA","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"ANAKAO","COTS density",2025,10,2026,NA,NA,NA,"ind/ha"
"ANDAVADOAKY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"ANDRAVONA","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"ANKARAMIFIOKY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"BEFASY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"BEHELOKY","COTS density",2025,10,2026,NA,NA,NA,"ind/ha"
"BELAVENOKY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"BEVATO","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"FIERENAMASAY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"FITSITIKA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"IFATY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"ITAMPOLO","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"MANGILY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"MAROMENA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"MOROMBE","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"NOSY SATRA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"RATAFENJIKA","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"RETSELA","COTS density",2025,20,2026,NA,NA,NA,"ind/ha"
"SALARY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"TANILAHY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"TSANDAMBA","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"AMBATOMILO","Fish abundance (total)",2025,NA,2026,3600,NA,NA,"ind/ha"
"AMBITIKY","Fish abundance (total)",2025,12450,2026,NA,NA,NA,"ind/ha"
"AMBOHIBOLA","Fish abundance (total)",2025,16660,2026,NA,NA,NA,"ind/ha"
"AMBOLA","Fish abundance (total)",2025,11570,2026,NA,NA,NA,"ind/ha"
"AMBOLAFOTY","Fish abundance (total)",2025,7640,2026,NA,NA,NA,"ind/ha"
"AMPASINDAVA","Fish abundance (total)",2025,NA,2026,5640,NA,NA,"ind/ha"
"ANAKAO","Fish abundance (total)",2025,15250,2026,NA,NA,NA,"ind/ha"
"ANDAVADOAKY","Fish abundance (total)",2025,NA,2026,9675.55555555555,NA,NA,"ind/ha"
"ANDRAVONA","Fish abundance (total)",2025,NA,2026,10700,NA,NA,"ind/ha"
"ANKARAMIFIOKY","Fish abundance (total)",2025,NA,2026,13540,NA,NA,"ind/ha"
"BEFASY","Fish abundance (total)",2025,7980,2026,NA,NA,NA,"ind/ha"
"BEHELOKY","Fish abundance (total)",2025,13280,2026,NA,NA,NA,"ind/ha"
"BELAVENOKY","Fish abundance (total)",2025,NA,2026,15716,NA,NA,"ind/ha"
"BEVATO","Fish abundance (total)",2025,NA,2026,11070,NA,NA,"ind/ha"
"FIERENAMASAY","Fish abundance (total)",2025,NA,2026,5400,NA,NA,"ind/ha"
"FITSITIKA","Fish abundance (total)",2025,6586.66666666667,2026,NA,NA,NA,"ind/ha"
"IFATY","Fish abundance (total)",2025,8170,2026,NA,NA,NA,"ind/ha"
"ITAMPOLO","Fish abundance (total)",2025,7970,2026,NA,NA,NA,"ind/ha"
"MANGILY","Fish abundance (total)",2025,5935.55555555556,2026,NA,NA,NA,"ind/ha"
"MAROMENA","Fish abundance (total)",2025,15160,2026,NA,NA,NA,"ind/ha"
