"calendar_year","site","ecosystem_type","condition_indicator","reference_level","measured_value","condition_index"
2025,"AMBITIKY","Coral reef (M1.3)","Fish biomass","1150 kg/ha","1882.6 kg/ha","1.00"
2025,"AMBITIKY","Coral reef (M1.3)","Fish species richness","94 species (max observed)","52 species","0.55"
2025,"AMBITIKY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"AMBOHIBOLA","Coral reef (M1.3)","Fish biomass","1150 kg/ha","1008.7 kg/ha","0.88"
2025,"AMBOHIBOLA","Coral reef (M1.3)","Fish species richness","94 species (max observed)","53 species","0.56"
2025,"AMBOHIBOLA","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"AMBOLA","Coral reef (M1.3)","Fish biomass","1150 kg/ha","732.7 kg/ha","0.64"
2025,"AMBOLA","Coral reef (M1.3)","Fish species richness","94 species (max observed)","70 species","0.74"
2025,"AMBOLA","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"AMBOLAFOTY","Coral reef (M1.3)","Fish biomass","1150 kg/ha","842.9 kg/ha","0.73"
2025,"AMBOLAFOTY","Coral reef (M1.3)","Fish species richness","94 species (max observed)","30 species","0.32"
2025,"AMBOLAFOTY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"ANAKAO","Coral reef (M1.3)","Fish biomass","1150 kg/ha","653.5 kg/ha","0.57"
2025,"ANAKAO","Coral reef (M1.3)","Fish species richness","94 species (max observed)","51 species","0.54"
2025,"ANAKAO","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","10.0 ind/ha","0.33 (inverted)"
2025,"BEFASY","Coral reef (M1.3)","Fish biomass","1150 kg/ha","253.9 kg/ha","0.22"
2025,"BEFASY","Coral reef (M1.3)","Fish species richness","94 species (max observed)","27 species","0.29"
2025,"BEFASY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"BEHELOKY","Coral reef (M1.3)","Fish biomass","1150 kg/ha","1506.2 kg/ha","1.00"
2025,"BEHELOKY","Coral reef (M1.3)","Fish species richness","94 species (max observed)","77 species","0.82"
2025,"BEHELOKY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","10.0 ind/ha","0.33 (inverted)"
2025,"FITSITIKA","Coral reef (M1.3)","Fish biomass","1150 kg/ha","248.4 kg/ha","0.22"
2025,"FITSITIKA","Coral reef (M1.3)","Fish species richness","94 species (max observed)","54 species","0.57"
2025,"FITSITIKA","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"IFATY","Coral reef (M1.3)","Fish biomass","1150 kg/ha","240.3 kg/ha","0.21"
2025,"IFATY","Coral reef (M1.3)","Fish species richness","94 species (max observed)","68 species","0.72"
2025,"IFATY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"ITAMPOLO","Coral reef (M1.3)","Fish biomass","1150 kg/ha","847.0 kg/ha","0.74"
2025,"ITAMPOLO","Coral reef (M1.3)","Fish species richness","94 species (max observed)","68 species","0.72"
2025,"ITAMPOLO","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"MANGILY","Coral reef (M1.3)","Fish biomass","1150 kg/ha","339.7 kg/ha","0.30"
2025,"MANGILY","Coral reef (M1.3)","Fish species richness","94 species (max observed)","94 species","1.00"
2025,"MANGILY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"MAROMENA","Coral reef (M1.3)","Fish biomass","1150 kg/ha","441.2 kg/ha","0.38"
2025,"MAROMENA","Coral reef (M1.3)","Fish species richness","94 species (max observed)","41 species","0.44"
2025,"MAROMENA","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
