"Year","Sites","mean_biomass_kg_ha","var_biomass_kg_ha","mean_abundance_ha","var_abundance_ha","species_richness","ci_fish_biomass","ci_fish_richness","n_transects","mean_cots_count","var_cots_count","cots_density_ha","ci_cots","mean_tridacna_count","mean_abundance","species_richness_invert","mean_urchin_abundance","var_urchin_abundance","urchin_density_m2","mean_diadema"
2025,"AMBITIKY",1882.64277600716,1714827.76581909,12450,17505466.6666667,52,1,0.553191489361702,4,0,0,0,1,3.5,21.75,17,125,16763.3333333333,0.5,0
2025,"AMBOHIBOLA",1008.69799420001,45743.3967857784,16660,3175200,53,0.877128690608702,0.563829787234043,2,0,0,0,1,0,7.5,5,52,242,0.208,0
2025,"AMBOLA",732.66952675501,144639.167212574,11570,45222800,70,0.637103936308704,0.74468085106383,4,0,0,0,1,3.25,17,17,51.5,5926.33333333333,0.206,0
2025,"AMBOLAFOTY",842.91229552624,329106.112389846,7640,30108800,30,0.732967213501078,0.319148936170213,2,0,0,0,1,0.5,9,7,0,0,0,0
2025,"ANAKAO",653.461790023508,64779.1098069928,15250,53286800,51,0.568227643498703,0.542553191489362,4,0.25,0.25,10,0.333333333333333,0,10.25,9,17.5,567,0.07,0
2025,"BEFASY",253.867171565536,9831.93712270062,7980,4500000,27,0.2207540622309,0.287234042553192,2,0,0,0,1,0,8.66666666666667,11,47.5,420.5,0.19,0
2025,"BEHELOKY",1506.24950232638,3917484.89343927,13280,144131200,77,1,0.819148936170213,4,0.25,0.25,10,0.333333333333333,0.5,11,20,67.75,1316.91666666667,0.271,0
2025,"FITSITIKA",248.374085503546,7457.64449354844,6586.66666666667,2846506.66666667,54,0.215977465655258,0.574468085106383,6,0,0,0,1,1.8,4.6,7,5.66666666666667,7.86666666666667,0.0226666666666667,1.5
2025,"IFATY",240.267469766608,31097.2012524214,8170,31085832.2580645,68,0.20892823457966,0.723404255319149,32,0,0,0,1,0.72,2.84,12,8.69565217391304,31.4940711462451,0.0347826086956522,0.869565217391304
2025,"ITAMPOLO",846.970836437474,57051.7466465926,7970,1627066.66666667,68,0.736496379510847,0.723404255319149,4,0,0,0,1,3.25,40,16,51.25,44.9166666666667,0.205,0
2025,"MANGILY",339.742862635279,133588.147837099,5935.55555555556,8967932.02614379,94,0.295428576204591,1,18,0,0,0,1,0.8,3,7,7.33333333333333,19.6969696969697,0.0293333333333333,1.08333333333333
2025,"MAROMENA",441.154448899092,59004.385707412,15160,79884800,41,0.38361256426008,0.436170212765957,2,0,0,0,1,0.5,16.5,13,128.5,612.5,0.514,0
2025,"NOSY SATRA",337.520707332341,99714.8239427076,5040,5866666.66666667,39,0.293496267245514,0.414893617021277,4,0,0,0,1,0,13.25,14,56.25,477.583333333333,0.225,0
2025,"RETSELA",1573.83449292836,573031.937477887,20380,7170666.66666667,70,1,0.74468085106383,4,0.5,0.333333333333333,20,0,0.75,15.25,11,42,468.666666666667,0.168,0
2025,"TANILAHY",664.982064323343,50493.5726047705,11480,13520000,36,0.578245273324646,0.382978723404255,2,0,0,0,1,0,13.5,10,3.5,24.5,0.014,0
2026,"AMBATOMILO",199.382561674946,24566.333901111,3600,8083200,34,0.173376140586909,0.330097087378641,4,0,0,0,1,0.75,2.75,6,16.75,422.25,0.067,16.75
2026,"AMPASINDAVA",243.269861713592,3692.97831217644,5640,4380800,25,0.211539010185732,0.242718446601942,2,0,0,0,1,16.5,20,4,189.5,1404.5,0.758,14.5
2026,"ANDAVADOAKY",756.246240871576,1079626.89884446,9675.55555555555,101037343.79085,100,0.657605426844849,0.970873786407767,18,0,0,0,1,0.789473684210526,5.47368421052632,11,156.05,33340.5763157895,0.6242,91.85
2026,"ANDRAVONA",857.884438716258,373029.762190308,10700,35616800,38,0.74598646844892,0.368932038834951,2,0,0,0,1,8,10,3,199.5,49612.5,0.798,199.5
2026,"ANKARAMIFIOKY",1290.63952114558,187349.119788318,13540,7200,48,1,0.466019417475728,2,0,0,0,1,0,1,2,0,0,0,0
2026,"BELAVENOKY",947.144264160864,875413.73431228,15716,376250425.263158,103,0.823603707965968,1,20,0,0,0,1,0.2,2.7,8,193.5,43927.1666666667,0.774,152
2026,"BEVATO",665.078342930891,12939.812154278,11070,5565200,62,0.578328993852949,0.601941747572815,4,0,0,0,1,0.5,0.75,3,9.75,122.916666666667,0.039,5.25
2026,"FIERENAMASAY",345.10162426643,2550.58571781786,5400,3200,30,0.30008836892733,0.29126213592233,2,0,0,0,1,0,1.5,2,289.5,21012.5,1.158,201
2026,"MOROMBE",386.550326680569,53610.8547503007,4553.33333333333,12638346.6666667,56,0.336130718852668,0.54368932038835,6,0,0,0,1,0.5,2.125,10,2.625,29.4107142857143,0.0105,2.5
2026,"RATAFENJIKA",306.354428201221,64729.3356556524,3970,7537466.66666667,39,0.266395154957583,0.378640776699029,4,0,0,0,1,0,1.66666666666667,5,11.8333333333333,444.966666666667,0.0473333333333333,3
2026,"SALARY",1391.3759688212,1375346.77238495,9230,14146171.4285714,86,1,0.83495145631068,8,0,0,0,1,0.75,11,14,79.125,14351.8392857143,0.3165,77.5
2026,"TSANDAMBA",1131.62734581326,395800.57423599,15720,89244800,49,0.984023778968049,0.475728155339806,2,0,0,0,1,0,3,3,113.5,25312.5,0.454,83
