"Sites","Variable","Opening_Year","Opening_Value","Closing_Year","Closing_Value","Absolute_Change","Percent_Change","Unit"
"AMBATOMILO","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"AMBITIKY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"AMBOHIBOLA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"AMBOLA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"AMBOLAFOTY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"AMPASINDAVA","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"ANAKAO","COTS density",2025,25,2026,NA,NA,NA,"ind/ha"
"ANDAVADOAKY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"ANDRAVONA","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"ANKARAMIFIOKY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"BEFASY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"BEHELOKY","COTS density",2025,25,2026,NA,NA,NA,"ind/ha"
"BELAVENOKY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"BEVATO","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"FIERENAMASAY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"FITSITIKA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"IFATY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"ITAMPOLO","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"MANGILY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"MAROMENA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"MOROMBE","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"NOSY SATRA","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"RATAFENJIKA","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"RETSELA","COTS density",2025,50,2026,NA,NA,NA,"ind/ha"
"SALARY","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"TANILAHY","COTS density",2025,0,2026,NA,NA,NA,"ind/ha"
"TSANDAMBA","COTS density",2025,NA,2026,0,NA,NA,"ind/ha"
"AMBATOMILO","Fish abundance (total)",2025,NA,2026,9000,NA,NA,"ind/ha"
"AMBITIKY","Fish abundance (total)",2025,31125,2026,NA,NA,NA,"ind/ha"
"AMBOHIBOLA","Fish abundance (total)",2025,41650,2026,NA,NA,NA,"ind/ha"
"AMBOLA","Fish abundance (total)",2025,28925,2026,NA,NA,NA,"ind/ha"
"AMBOLAFOTY","Fish abundance (total)",2025,19100,2026,NA,NA,NA,"ind/ha"
"AMPASINDAVA","Fish abundance (total)",2025,NA,2026,14100,NA,NA,"ind/ha"
"ANAKAO","Fish abundance (total)",2025,38125,2026,NA,NA,NA,"ind/ha"
"ANDAVADOAKY","Fish abundance (total)",2025,NA,2026,24188.8888888889,NA,NA,"ind/ha"
"ANDRAVONA","Fish abundance (total)",2025,NA,2026,26750,NA,NA,"ind/ha"
"ANKARAMIFIOKY","Fish abundance (total)",2025,NA,2026,33850,NA,NA,"ind/ha"
"BEFASY","Fish abundance (total)",2025,19950,2026,NA,NA,NA,"ind/ha"
"BEHELOKY","Fish abundance (total)",2025,33200,2026,NA,NA,NA,"ind/ha"
"BELAVENOKY","Fish abundance (total)",2025,NA,2026,39290,NA,NA,"ind/ha"
"BEVATO","Fish abundance (total)",2025,NA,2026,27675,NA,NA,"ind/ha"
"FIERENAMASAY","Fish abundance (total)",2025,NA,2026,13500,NA,NA,"ind/ha"
"FITSITIKA","Fish abundance (total)",2025,16466.6666666667,2026,NA,NA,NA,"ind/ha"
"IFATY","Fish abundance (total)",2025,20425,2026,NA,NA,NA,"ind/ha"
"ITAMPOLO","Fish abundance (total)",2025,19925,2026,NA,NA,NA,"ind/ha"
"MANGILY","Fish abundance (total)",2025,14838.8888888889,2026,NA,NA,NA,"ind/ha"
"MAROMENA","Fish abundance (total)",2025,37900,2026,NA,NA,NA,"ind/ha"
