"calendar_year","site","ecosystem_type","condition_indicator","reference_level","measured_value","condition_index"
2025,"AMBITIKY","Coral reef (M1.3)","Fish biomass","500 kg/ha","4706.6 kg/ha","1.00"
2025,"AMBITIKY","Coral reef (M1.3)","Fish species richness","94 species (max observed)","52 species","0.55"
2025,"AMBITIKY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"AMBOHIBOLA","Coral reef (M1.3)","Fish biomass","500 kg/ha","2521.7 kg/ha","1.00"
2025,"AMBOHIBOLA","Coral reef (M1.3)","Fish species richness","94 species (max observed)","53 species","0.56"
2025,"AMBOHIBOLA","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"AMBOLA","Coral reef (M1.3)","Fish biomass","500 kg/ha","1831.7 kg/ha","1.00"
2025,"AMBOLA","Coral reef (M1.3)","Fish species richness","94 species (max observed)","70 species","0.74"
2025,"AMBOLA","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"AMBOLAFOTY","Coral reef (M1.3)","Fish biomass","500 kg/ha","2107.3 kg/ha","1.00"
2025,"AMBOLAFOTY","Coral reef (M1.3)","Fish species richness","94 species (max observed)","30 species","0.32"
2025,"AMBOLAFOTY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"ANAKAO","Coral reef (M1.3)","Fish biomass","500 kg/ha","1633.7 kg/ha","1.00"
2025,"ANAKAO","Coral reef (M1.3)","Fish species richness","94 species (max observed)","51 species","0.54"
2025,"ANAKAO","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","25.0 ind/ha","0.17 (inverted)"
2025,"BEFASY","Coral reef (M1.3)","Fish biomass","500 kg/ha","634.7 kg/ha","1.00"
2025,"BEFASY","Coral reef (M1.3)","Fish species richness","94 species (max observed)","27 species","0.29"
2025,"BEFASY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"BEHELOKY","Coral reef (M1.3)","Fish biomass","500 kg/ha","3765.6 kg/ha","1.00"
2025,"BEHELOKY","Coral reef (M1.3)","Fish species richness","94 species (max observed)","77 species","0.82"
2025,"BEHELOKY","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","25.0 ind/ha","0.17 (inverted)"
2025,"FITSITIKA","Coral reef (M1.3)","Fish biomass","500 kg/ha","620.9 kg/ha","1.00"
2025,"FITSITIKA","Coral reef (M1.3)","Fish species richness","94 species (max observed)","54 species","0.57"
2025,"FITSITIKA","Coral reef (M1.3)","COTS density","0 ind/ha (ideal)","0.0 ind/ha","1.00 (inverted)"
2025,"IFATY","Coral reef (M1.3)","Fish biomass","500 kg/ha","600.7 kg/ha","1.00"
2025,"IFATY","Coral reef (M1.3)","Fish species richness","94 species (max observed)","68 species","0.72"
