"Year","Sites","mean_biomass_kg_ha","var_biomass_kg_ha","mean_abundance_ha","var_abundance_ha","species_richness","ci_fish_biomass","ci_fish_richness","n_transects","mean_cots_count","var_cots_count","cots_density_ha","ci_cots","mean_tridacna_count","mean_abundance","species_richness_invert","mean_urchin_abundance","var_urchin_abundance","urchin_density_m2","mean_diadema"
2025,"AMBITIKY",4706.6069400179,10717673.5363693,31125,109409166.666667,52,1,0.553191489361702,4,0,0,0,1,3.5,21.75,17,125,16763.3333333333,1.25,0
2025,"AMBOHIBOLA",2521.74498550002,285896.229911115,41650,19845000,53,1,0.563829787234043,2,0,0,0,1,0,7.5,5,52,242,0.52,0
2025,"AMBOLA",1831.67381688752,903994.795078586,28925,282642500,70,1,0.74468085106383,4,0,0,0,1,3.25,17,17,51.5,5926.33333333333,0.515,0
2025,"AMBOLAFOTY",2107.2807388156,2056913.20243653,19100,188180000,30,1,0.319148936170213,2,0,0,0,1,0.5,9,7,0,0,0,0
2025,"ANAKAO",1633.65447505877,404869.436293705,38125,333042500,51,1,0.542553191489362,4,0.25,0.25,25,0.166666666666667,0,10.25,9,17.5,567,0.175,0
2025,"BEFASY",634.667928913839,61449.6070168789,19950,28125000,27,1,0.287234042553192,2,0,0,0,1,0,8.66666666666667,11,47.5,420.5,0.475,0
2025,"BEHELOKY",3765.62375581594,24484280.5839954,33200,900820000,77,1,0.819148936170213,4,0.25,0.25,25,0.166666666666667,0.5,11,20,67.75,1316.91666666667,0.6775,0
2025,"FITSITIKA",620.935213758866,46610.2780846778,16466.6666666667,17790666.6666667,54,1,0.574468085106383,6,0,0,0,1,1.8,4.6,7,5.66666666666667,7.86666666666667,0.0566666666666667,1.5
2025,"IFATY",600.668674416521,194357.507827634,20425,194286451.612903,68,1,0.723404255319149,32,0,0,0,1,0.72,2.84,12,8.69565217391304,31.4940711462451,0.0869565217391304,0.869565217391304
2025,"ITAMPOLO",2117.42709109368,356573.416541204,19925,10169166.6666667,68,1,0.723404255319149,4,0,0,0,1,3.25,40,16,51.25,44.9166666666667,0.5125,0
2025,"MANGILY",849.357156588198,834925.923981866,14838.8888888889,56049575.1633987,94,1,1,18,0,0,0,1,0.8,3,7,7.33333333333333,19.6969696969697,0.0733333333333333,1.08333333333333
2025,"MAROMENA",1102.88612224773,368777.410671325,37900,499280000,41,1,0.436170212765957,2,0,0,0,1,0.5,16.5,13,128.5,612.5,1.285,0
2025,"NOSY SATRA",843.801768330853,623217.649641923,12600,36666666.6666667,39,1,0.414893617021277,4,0,0,0,1,0,13.25,14,56.25,477.583333333333,0.5625,0
2025,"RETSELA",3934.58623232089,3581449.60923679,50950,44816666.6666667,70,1,0.74468085106383,4,0.5,0.333333333333333,50,0,0.75,15.25,11,42,468.666666666667,0.42,0
2025,"TANILAHY",1662.45516080836,315584.828779815,28700,84500000,36,1,0.382978723404255,2,0,0,0,1,0,13.5,10,3.5,24.5,0.035,0
2026,"AMBATOMILO",498.456404187365,153539.586881943,9000,50520000,34,0.996912808374729,0.330097087378641,4,0,0,0,1,0.75,2.75,6,16.75,422.25,0.1675,16.75
2026,"AMPASINDAVA",608.17465428398,23081.1144511028,14100,27380000,25,1,0.242718446601942,2,0,0,0,1,16.5,20,4,189.5,1404.5,1.895,14.5
2026,"ANDAVADOAKY",1890.61560217894,6747668.11777786,24188.8888888889,631483398.69281,100,1,0.970873786407767,18,0,0,0,1,0.789473684210526,5.47368421052632,11,156.05,33340.5763157895,1.5605,91.85
2026,"ANDRAVONA",2144.71109679064,2331436.01368943,26750,222605000,38,1,0.368932038834951,2,0,0,0,1,8,10,3,199.5,49612.5,1.995,199.5
2026,"ANKARAMIFIOKY",3226.59880286394,1170931.99867699,33850,45000,48,1,0.466019417475728,2,0,0,0,1,0,1,2,0,0,0,0
2026,"BELAVENOKY",2367.86066040216,5471335.83945175,39290,2351565157.89474,103,1,1,20,0,0,0,1,0.2,2.7,8,193.5,43927.1666666667,1.935,152
2026,"BEVATO",1662.69585732723,80873.8259642373,27675,34782500,62,1,0.601941747572815,4,0,0,0,1,0.5,0.75,4,9.75,122.916666666667,0.0975,5.25
2026,"FIERENAMASAY",862.754060666074,15941.1607363616,13500,20000,30,1,0.29126213592233,2,0,0,0,1,0,1.5,2,289.5,21012.5,2.895,201
2026,"MOROMBE",966.375816701421,335067.842189379,11383.3333333333,78989666.6666667,56,1,0.54368932038835,6,0,0,0,1,0.5,2.125,10,2.625,29.4107142857143,0.02625,2.5
2026,"RATAFENJIKA",765.886070503051,404558.347847828,9925,47109166.6666667,39,1,0.378640776699029,4,0,0,0,1,0,1.66666666666667,5,11.8333333333333,444.966666666667,0.118333333333333,3
2026,"SALARY",3478.43992205299,8595917.32740595,23075,88413571.4285714,86,1,0.83495145631068,8,0,0,0,1,0.75,11,14,79.125,14351.8392857143,0.79125,77.5
2026,"TSANDAMBA",2829.06836453314,2473753.58897494,39300,557780000,49,1,0.475728155339806,2,0,0,0,1,0,3,3,113.5,25312.5,1.135,83
