"Year","Sites","Functional_Group_Std","mean_biomass_kg_ha","var_biomass_kg_ha","mean_abundance_ha","var_abundance_ha","n_transects"
2025,"AMBITIKY","Carnivore",1121.20387948448,572623.92522786,8600,13606666.6666667,4
2025,"AMBITIKY","Corallivore",354.187499642906,31274.722854754,2150,790000,4
2025,"AMBITIKY","Herbivore",2432.50317929594,1854373.15810465,8175,1342500,4
2025,"AMBITIKY","Omnivore",7.40494556995099,122.842530706025,475,49166.6666666667,4
2025,"AMBITIKY","Planktivore",791.307436024624,1686973.27002503,11725,125269166.666667,4
2025,"AMBOHIBOLA","Carnivore",684.91113046694,581.654198819049,3900,5e+05,2
2025,"AMBOHIBOLA","Corallivore",649.68462999225,709146.105472643,2100,1280000,2
2025,"AMBOHIBOLA","Herbivore",790.250036945997,114290.220167348,6250,45000,2
2025,"AMBOHIBOLA","Omnivore",28.4532115045942,869.724024738747,1200,180000,2
2025,"AMBOHIBOLA","Planktivore",368.445976590236,1297.90582341514,28200,1.8e+07,2
2025,"AMBOLA","Carnivore",272.089264884226,19984.6045730971,4625,1882500,4
2025,"AMBOLA","Corallivore",130.484186793552,13062.0917299619,1125,489166.666666667,4
2025,"AMBOLA","Herbivore",1132.12814284109,450754.154629312,5750,1243333.33333333,4
2025,"AMBOLA","Omnivore",78.0357339449311,8145.44579067219,1725,1149166.66666667,4
2025,"AMBOLA","Planktivore",218.936488423727,27864.5562913318,15700,222360000,4
2025,"AMBOLAFOTY","Carnivore",668.576507495951,17059.7398639844,3300,0,2
2025,"AMBOLAFOTY","Corallivore",78.9795024938548,488.584773879375,950,125000,2
2025,"AMBOLAFOTY","Herbivore",1289.14227388742,2081915.93915856,9550,34445000,2
2025,"AMBOLAFOTY","Omnivore",4.67544755830641,0,600,0,1
2025,"AMBOLAFOTY","Planktivore",136.489462318435,0,10000,0,1
2025,"ANAKAO","Carnivore",378.147684319753,34957.9736596596,3800,3286666.66666667,4
2025,"ANAKAO","Corallivore",270.451038151984,53422.0070645278,3166.66666666667,12093333.3333333,3
2025,"ANAKAO","Herbivore",442.568137069761,57107.5663908498,9000,41340000,4
2025,"ANAKAO","Omnivore",51.3708298311358,1381.02092638232,1075,75833.3333333333,4
2025,"ANAKAO","Planktivore",558.729545224134,138238.739936419,21875,192275833.333333,4
2025,"BEFASY","Carnivore",306.514429234177,16711.9442726871,4200,5e+05,2
2025,"BEFASY","Corallivore",59.8598002725598,6044.79326138189,550,45000,2
2025,"BEFASY","Herbivore",176.375482068079,17966.3656105964,13350,19845000,2
2025,"BEFASY","Omnivore",2.20097396756956,0.58948306202808,200,20000,2
2025,"BEFASY","Planktivore",89.717243371454,8824.55291136041,1650,5000,2
2025,"BEHELOKY","Carnivore",1331.52040218614,3202152.42064632,6600,33986666.6666667,4
2025,"BEHELOKY","Corallivore",337.577225038416,258784.837332509,1100,953333.333333333,4
2025,"BEHELOKY","Herbivore",1278.8768849656,2597985.3468004,12425,108862500,4
2025,"BEHELOKY","Omnivore",76.0694193936457,14446.2117372927,1625,5795833.33333333,4
2025,"BEHELOKY","Planktivore",741.579824232141,1154884.01479718,11450,159643333.333333,4
2025,"FITSITIKA","Carnivore",186.908801586326,4879.35339703371,2850,587000,6
2025,"FITSITIKA","Corallivore",45.0544809188379,377.525445013993,975,89166.6666666667,4
2025,"FITSITIKA","Herbivore",201.264811711434,15004.1516319064,4416.66666666667,4989666.66666667,6
2025,"FITSITIKA","Omnivore",157.172636619833,6383.28732200251,7650,5711000,6
2025,"FITSITIKA","Piscivore",22.0608120248718,0,100,0,1
2025,"FITSITIKA","Planktivore",83.7516824491385,5872.8834975526,1766.66666666667,1333333.33333333,3
2025,"IFATY","Carnivore",134.729116473737,16178.9885738058,2900,4991333.33333333,31
2025,"IFATY","Corallivore",75.0117004880875,4604.19688039414,1635.71428571429,1484603.17460317,28
2025,"IFATY","Detritivore",17.5687542167054,86.6196440358948,275,29166.6666666667,4
2025,"IFATY","Herbivore",161.758797927142,25796.1232327734,2210.71428571429,3706177.24867725,28
2025,"IFATY","Omnivore",225.157667483641,35677.4174359414,13645.1612903226,103805225.806452,31
2025,"IFATY","Piscivore",12.1337090253077,32.3481404758245,525,422500,4
2025,"IFATY","Planktivore",48.7601285205728,5383.69646153334,1103.7037037037,1714985.75498575,27
2025,"ITAMPOLO","Carnivore",642.052419880026,19877.8693061295,6050,2030000,4
2025,"ITAMPOLO","Corallivore",123.666212249633,2818.55760398981,925,162500,4
2025,"ITAMPOLO","Herbivore",1273.17322410863,516988.77590709,9850,28623333.3333333,4
2025,"ITAMPOLO","Omnivore",25.64550868155,221.522706883235,1450,30000,4
2025,"ITAMPOLO","Planktivore",70.5196348984615,4686.21585028712,2200,3430000,3
2025,"MANGILY","Carnivore",275.290092187198,60153.1592501032,3111.11111111111,3213986.92810457,18
2025,"MANGILY","Corallivore",130.045457664869,19646.9136728118,1847.05882352941,1597647.05882353,17
2025,"MANGILY","Herbivore",252.082674740266,159668.260680176,2700,9224705.88235294,18
2025,"MANGILY","Omnivore",144.377108013502,14391.9222539323,6694.44444444444,16809967.3202614,18
2025,"MANGILY","Planktivore",65.7438859564922,25383.0085541218,706.666666666667,652095.238095238,15
2025,"MAROMENA","Carnivore",237.774257562241,52612.6021671549,3150,6845000,2
2025,"MAROMENA","Corallivore",92.1515100979513,9.57085510253134,300,20000,2
2025,"MAROMENA","Herbivore",233.872931774831,26108.7296525651,1900,80000,2
2025,"MAROMENA","Omnivore",88.8901837280399,349.888281442673,1600,0,2
2025,"MAROMENA","Planktivore",450.197239084665,56697.8527922487,30950,383645000,2
2025,"NOSY SATRA","Carnivore",333.150047447194,121664.006815528,2875,489166.666666667,4
2025,"NOSY SATRA","Corallivore",295.279990042753,70218.0419372801,1233.33333333333,923333.333333333,3
2025,"NOSY SATRA","Herbivore",311.155565180246,164098.917274975,9633.33333333333,26573333.3333333,3
2025,"NOSY SATRA","Omnivore",13.2498497399238,31.5088621115716,875,129166.666666667,4
2025,"NOSY SATRA","Planktivore",56.7669396353148,3842.28595968649,933.333333333333,263333.333333333,3
2025,"RETSELA","Carnivore",620.249524946686,38271.7349734624,6375,4322500,4
2025,"RETSELA","Corallivore",385.739971674512,33674.7960286362,1550,136666.666666667,4
2025,"RETSELA","Herbivore",1343.32973603685,776038.527343722,10300,4166666.66666667,4
2025,"RETSELA","Omnivore",118.755288039981,6289.65210579227,2275,1082500,4
2025,"RETSELA","Planktivore",1466.51171162287,3123276.50266869,30450,62536666.6666667,4
2025,"TANILAHY","Carnivore",841.892840509805,477458.595882985,4900,7220000,2
2025,"TANILAHY","Corallivore",173.928491212804,22217.6507059941,500,80000,2
2025,"TANILAHY","Herbivore",157.689410790257,229.9185488949,3300,2420000,2
2025,"TANILAHY","Omnivore",161.481311001607,6939.04517667266,4950,6845000,2
2025,"TANILAHY","Planktivore",327.463107293884,6181.50497067232,15050,32805000,2
2026,"AMBATOMILO","Carnivore",244.060801704076,49119.5139285246,2800,4220000,4
2026,"AMBATOMILO","Corallivore",50.9965815951376,1970.45222059585,400,80000,2
2026,"AMBATOMILO","Herbivore",156.414145226046,7893.71364886397,3075,2622500,4
2026,"AMBATOMILO","Omnivore",43.6901977096733,2807.98431835954,1175,1409166.66666667,4
2026,"AMBATOMILO","Planktivore",115.171875,0,7000,0,1
2026,"AMPASINDAVA","Carnivore",355.30366149115,26.603532253934,6700,38720000,2
2026,"AMPASINDAVA","Corallivore",5.51711166227962,17.7493369465514,150,5000,2
2026,"AMPASINDAVA","Herbivore",177.973179961805,2548.4310733472,5700,7220000,2
2026,"AMPASINDAVA","Omnivore",35.5711577823749,1958.765264094,1050,1125000,2
2026,"AMPASINDAVA","Planktivore",67.6190867727414,0,1000,0,1
2026,"ANDAVADOAKY","Carnivore",581.408010047199,319342.562408608,7255.55555555556,51214379.0849673,18
2026,"ANDAVADOAKY","Corallivore",135.950797862853,19521.2538439072,1058.82352941176,553823.529411765,17
2026,"ANDAVADOAKY","Herbivore",985.732256516692,4347604.64963291,10216.6666666667,424547352.941176,18
2026,"ANDAVADOAKY","Omnivore",34.0488088670702,1851.683684254,1111.76470588235,634852.941176471,17
2026,"ANDAVADOAKY","Planktivore",225.581748204785,60168.9460391945,6461.53846153846,28822564.1025641,13
2026,"ANDRAVONA","Carnivore",1758.71180001545,2645877.76805384,10450,19845000,2
2026,"ANDRAVONA","Corallivore",78.7642795105812,4211.19790380714,500,80000,2
2026,"ANDRAVONA","Herbivore",113.874821843323,140.763386066426,2350,45000,2
2026,"ANDRAVONA","Omnivore",101.691852036529,2780.85461309237,4700,980000,2
2026,"ANDRAVONA","Planktivore",91.6683433847592,10001.3862782409,8750,91125000,2
2026,"ANKARAMIFIOKY","Carnivore",829.649530921972,136801.678893649,7200,2420000,2
2026,"ANKARAMIFIOKY","Corallivore",499.50619099638,107655.74044921,2200,5e+05,2
2026,"ANKARAMIFIOKY","Herbivore",1595.95487902261,716932.003547842,12650,11045000,2
2026,"ANKARAMIFIOKY","Omnivore",31.919589456882,1.82912103587814,1000,320000,2
2026,"ANKARAMIFIOKY","Planktivore",269.568612466089,38014.2455948201,10800,80000,2
2026,"BELAVENOKY","Carnivore",839.58408369637,1043790.49210721,6595,94341552.631579,20
2026,"BELAVENOKY","Corallivore",139.571114044806,27496.105618315,1793.75,7296625,16
2026,"BELAVENOKY","Herbivore",1126.56969737889,1352875.08724007,10931.5789473684,101622280.701754,19
2026,"BELAVENOKY","Omnivore",24.5001887020074,396.108950436313,1755.55555555556,6410849.67320261,18
2026,"BELAVENOKY","Planktivore",498.966620197221,574487.726639536,29684.6153846154,1944328076.92308,13
2026,"BEVATO","Carnivore",601.855889850783,10751.7513360475,8225,962500,4
2026,"BEVATO","Corallivore",151.926051094839,2048.65804714107,1075,469166.666666667,4
2026,"BEVATO","Herbivore",515.450484114368,130395.581365343,7275,13309166.6666667,4
2026,"BEVATO","Omnivore",20.4522311384496,210.154530120913,1100,846666.666666667,4
2026,"BEVATO","Planktivore",373.011201128787,107525.803091817,10000,48813333.3333333,4
2026,"FIERENAMASAY","Carnivore",427.256314616692,34214.0329211139,5850,1805000,2
2026,"FIERENAMASAY","Corallivore",241.541200137404,7292.7689204772,800,80000,2
2026,"FIERENAMASAY","Herbivore",60.2901411747389,902.107686616879,700,180000,2
2026,"FIERENAMASAY","Omnivore",65.3286866757867,564.204640172553,1400,20000,2
2026,"FIERENAMASAY","Planktivore",68.3377180614524,734.542081874907,4750,3125000,2
2026,"MOROMBE","Carnivore",649.379222194093,139612.264918116,5516.66666666667,13261666.6666667,6
2026,"MOROMBE","Corallivore",140.947598665299,8238.54362236149,733.333333333333,573333.333333333,3
2026,"MOROMBE","Herbivore",308.383172723255,16985.2553766871,3875,2869166.66666667,4
2026,"MOROMBE","Omnivore",33.4839291483269,294.13492851651,1550,470000,4
2026,"MOROMBE","Planktivore",27.917090890437,345.087372266296,2825,11042500,4
2026,"RATAFENJIKA","Carnivore",378.567895316303,108931.528827581,4875,28862500,4
2026,"RATAFENJIKA","Corallivore",255.621642171384,51083.8819087262,600,250000,3
2026,"RATAFENJIKA","Herbivore",173.672614092744,17036.055350593,2675,1229166.66666667,4
2026,"RATAFENJIKA","Omnivore",19.310233940187,196.859686291736,1675,795833.333333333,4
2026,"RATAFENJIKA","Planktivore",10.4763821011153,0,1000,0,1
2026,"SALARY","Carnivore",407.621955872007,38708.9392823775,3525,2610714.28571429,8
2026,"SALARY","Corallivore",267.740893207648,9887.60470183834,2012.5,961250,8
2026,"SALARY","Herbivore",1791.02012943506,2009850.61491819,12562.5,31922678.5714286,8
2026,"SALARY","Omnivore",49.9725614614951,665.784870457038,1612.5,358392.857142857,8
2026,"SALARY","Planktivore",1282.77917610237,8155862.20319329,4483.33333333333,27861666.6666667,6
2026,"TSANDAMBA","Carnivore",1071.81427562,182882.487724475,7900,2420000,2
2026,"TSANDAMBA","Corallivore",39.9967849733338,192.242124477128,200,20000,2
2026,"TSANDAMBA","Herbivore",894.111398247042,82549.9022902155,6500,980000,2
2026,"TSANDAMBA","Omnivore",44.7282159738804,1284.37910364326,1100,20000,2
2026,"TSANDAMBA","Planktivore",778.41768971889,698697.687179711,23600,444020000,2
