site,asset_id,area_ha,carbon_density_mgc_ha,carbon_stock_mgc_total,carbon_stock_mgco2_total,point_count,gedi_confidence
Morrumbene,1,512.1484932578019,5.293533731,2711.0753243410004,9933.379988385426,85,HIGH
Morrumbene,2,447.8275233233908,5.071247347,2271.044139567326,8321.105727374683,95,HIGH
Morrumbene,3,108.78261041880727,4.797017013,521.8320328975694,1911.9925685366945,15,MEDIUM
Save,1,841.205834,5.587896518,4700.571150729886,17222.892696274303,17,MEDIUM
Save,2,26.61711,5.7971737,154.304010062007,565.3698928671937,2,LOW
Save,3,103.703223,12.8459088,1332.1621449240624,4881.042099001765,3,LOW
Save,4,5.86617,5.9563303,34.940846115951004,128.02326016884447,1,LOW
Save,5,116.975614,6.860945735,802.5633399723062,2940.59207765853,17,MEDIUM
Save,6,248.231243,4.267878157,1059.4206998846591,3881.717444377391,31,HIGH
Save,7,235.564255,5.720885886,1347.636221675605,4937.739116219416,7,MEDIUM
Save,8,299.376863,9.75252355,2919.6799067326237,10697.707178268334,6,MEDIUM
